MPS Current Set,Current B,Target B,Target MPS Set
157926.617283951,-0.610385,0.86435,-228004
157926.617283951,-0.610385,0.933795,-246523.012345679
157926.617283951,-0.610385,1.002505,-264967.975308642
157926.617283951,-0.610385,1.07062,-283338.888888889
137926.617283951,-0.53453,-0.4587,118000.666666667
137926.617283951,-0.53453,-0.382985,98148.7654320988
137926.617283951,-0.53453,-0.30728,78370.9135802469
137926.617283951,-0.53453,-0.231755,58667.1111111112
137926.617283951,-0.53453,-0.156265,39037.3580246913
137926.617283951,-0.53453,-0.08097,19481.6543209877
137926.617283951,-0.53453,-0.006315,0
137926.617283951,-0.53453,0.068365,-19407.6049382717
137926.617283951,-0.53453,0.14271,-38741.1604938272
137926.617283951,-0.53453,0.21683,-58000.6666666667
137926.617283951,-0.53453,0.290395,-77186.1234567901
137926.617283951,-0.53453,0.36376,-96297.5308641976
137926.617283951,-0.53453,0.436695,-115334.888888889
137926.617283951,-0.53453,0.509015,-134298.197530864
137926.617283951,-0.53453,0.581025,-153187.456790123
137926.617283951,-0.53453,0.65265,-172002.666666667
137926.617283951,-0.53453,0.723705,-190743.827160494
137926.617283951,-0.53453,0.79428,-209410.938271605
137926.617283951,-0.53453,0.86435,-228004
137926.617283951,-0.53453,0.933795,-246523.012345679
137926.617283951,-0.53453,1.002505,-264967.975308642
137926.617283951,-0.53453,1.07062,-283338.888888889
118000.666666667,-0.4587,-0.382985,98148.7654320988
118000.666666667,-0.4587,-0.30728,78370.9135802469
118000.666666667,-0.4587,-0.231755,58667.1111111112
118000.666666667,-0.4587,-0.156265,39037.3580246913
118000.666666667,-0.4587,-0.08097,19481.6543209877
118000.666666667,-0.4587,-0.006315,0
118000.666666667,-0.4587,0.068365,-19407.6049382717
118000.666666667,-0.4587,0.14271,-38741.1604938272
118000.666666667,-0.4587,0.21683,-58000.6666666667
118000.666666667,-0.4587,0.290395,-77186.1234567901
118000.666666667,-0.4587,0.36376,-96297.5308641976
118000.666666667,-0.4587,0.436695,-115334.888888889
